,dataset_name,method,theta,max,SSE,Total_time
135,Syn_n_50000_d_2_seed_4,asc,1.05,50.0,828920.0474926347,34.88479661941528
136,Syn_n_50000_d_2_seed_4,asc,1.1,5.0,828935.4378397821,16.651199340820312
137,Syn_n_50000_d_2_seed_4,asc,1.1,10.0,828920.3392143592,19.084924936294556
138,Syn_n_50000_d_2_seed_4,asc,1.1,20.0,828920.3392143578,20.860206604003906
139,Syn_n_50000_d_2_seed_4,asc,1.1,50.0,828920.3392143578,23.103593826293945
140,Syn_n_50000_d_2_seed_4,asc,1.2,5.0,828935.4378397821,10.354986667633057
141,Syn_n_50000_d_2_seed_4,asc,1.2,10.0,828920.3392143592,12.330026388168335
142,Syn_n_50000_d_2_seed_4,asc,1.2,20.0,828920.3392143578,14.195514678955078
143,Syn_n_50000_d_2_seed_4,asc,1.2,50.0,828920.3392143578,16.706040382385254
144,Syn_n_50000_d_2_seed_4,asc,1.5,5.0,828935.4378397816,6.143221616744995
145,Syn_n_50000_d_2_seed_4,asc,1.5,10.0,828920.3392143592,7.5529444217681885
146,Syn_n_50000_d_2_seed_4,asc,1.5,20.0,828920.3392143578,8.97000789642334
147,Syn_n_50000_d_2_seed_4,asc,1.5,50.0,828920.3392143578,10.440634727478027
148,Syn_n_50000_d_2_seed_4,asc,2.0,5.0,828941.949606173,4.409296035766602
149,Syn_n_50000_d_2_seed_4,asc,2.0,10.0,828920.3392143592,6.197181224822998
150,Syn_n_50000_d_2_seed_4,asc,2.0,20.0,828920.3392143578,6.910787343978882
151,Syn_n_50000_d_2_seed_4,asc,2.0,50.0,828920.3392143578,7.881886720657349
152,Syn_n_50000_d_2_seed_4,asc,5.0,5.0,828982.6380106925,3.4178290367126465
153,Syn_n_50000_d_2_seed_4,asc,5.0,10.0,828938.1729936157,4.190789222717285
154,Syn_n_50000_d_2_seed_4,asc,5.0,20.0,828937.461975766,3.993319034576416
155,Syn_n_50000_d_2_seed_4,asc,5.0,50.0,828922.0209824037,4.284914016723633
156,Syn_n_50000_d_2_seed_4,asc,10.0,5.0,828951.9116010444,2.832688093185425
157,Syn_n_50000_d_2_seed_4,asc,10.0,10.0,828967.513606104,2.8740272521972656
158,Syn_n_50000_d_2_seed_4,asc,10.0,20.0,828975.8660805715,3.182488203048706
159,Syn_n_50000_d_2_seed_4,asc,10.0,50.0,828971.1044475323,3.4048943519592285
160,Syn_n_50000_d_2_seed_5,asc,1.01,5.0,823692.9235572336,91.38116693496704
161,Syn_n_50000_d_2_seed_5,asc,1.01,10.0,823692.9235572336,94.62159276008606
162,Syn_n_50000_d_2_seed_5,asc,1.01,20.0,823692.9235572336,92.72503018379211
163,Syn_n_50000_d_2_seed_5,asc,1.01,50.0,823692.9235572336,92.14817237854004
164,Syn_n_50000_d_2_seed_5,asc,1.05,5.0,823692.9235572377,31.924357175827026
165,Syn_n_50000_d_2_seed_5,asc,1.05,10.0,823692.9235572377,32.77207374572754
166,Syn_n_50000_d_2_seed_5,asc,1.05,20.0,823692.9235572377,33.90877032279968
167,Syn_n_50000_d_2_seed_5,asc,1.05,50.0,823692.9235572377,35.391610622406006
168,Syn_n_50000_d_2_seed_5,asc,1.1,5.0,823718.4818371647,13.921387672424316
169,Syn_n_50000_d_2_seed_5,asc,1.1,10.0,823697.6050337697,14.619252681732178
170,Syn_n_50000_d_2_seed_5,asc,1.1,20.0,823692.9235572382,15.615890264511108
171,Syn_n_50000_d_2_seed_5,asc,1.1,50.0,823692.9235572382,17.804797887802124
172,Syn_n_50000_d_2_seed_5,asc,1.2,5.0,823706.9753301333,6.697119235992432
173,Syn_n_50000_d_2_seed_5,asc,1.2,10.0,823702.8838677672,7.200879812240601
174,Syn_n_50000_d_2_seed_5,asc,1.2,20.0,823692.9235572383,8.314762830734253
